message,count,symbols,fixed_attribute_values
"(24, 18, 2, 0)",2,"{(24, 18, 2)}","{(4, 2, '?')}"
"(24, 2, 2, 0)",2,"{(24, 2)}","{('?', '?', 3)}"
"(24, 2, 20, 0)",1,"{(24, 2, 20)}","{('?', 2, 3)}"
"(24, 20, 16, 0)",2,"{(24, 16, 20)}","{(6, '?', 3)}"
"(24, 20, 20, 0)",4,"{(24, 20)}","{('?', '?', 3)}"
"(24, 20, 27, 0)",8,"{(24, 27, 20)}","{(6, '?', 3)}"
"(24, 20, 4, 0)",5,"{(24, 20, 4)}","{(6, '?', 3)}"
"(24, 20, 5, 0)",1,"{(24, 20, 5)}","{('?', 7, 3)}"
"(24, 24, 16, 0)",3,"{(24, 16)}","{(6, '?', 3)}"
"(24, 24, 2, 0)",2,"{(24, 2)}","{('?', '?', 3)}"
"(24, 24, 20, 0)",2,"{(24, 20)}","{('?', '?', 3)}"
"(24, 25, 25, 0)",1,"{(24, 25)}","{(6, 2, 5)}"
"(24, 27, 16, 0)",3,"{(24, 16, 27)}","{(6, '?', 3)}"
"(24, 27, 19, 0)",1,"{(24, 19, 27)}","{(6, 3, 3)}"
"(24, 27, 27, 0)",3,"{(24, 27)}","{(6, '?', 3)}"
"(24, 4, 19, 0)",1,"{(24, 19, 4)}","{(0, 0, 3)}"
"(25, 16, 25, 0)",1,"{(16, 25)}","{(5, 2, 0)}"
"(25, 18, 18, 0)",3,"{(25, 18)}","{('?', '?', 5)}"
"(25, 18, 19, 0)",5,"{(25, 18, 19)}","{('?', '?', '?')}"
"(25, 18, 21, 0)",4,"{(25, 18, 21)}","{(5, '?', '?')}"
"(25, 18, 25, 0)",6,"{(25, 18)}","{('?', '?', '?')}"
"(25, 19, 18, 0)",6,"{(25, 18, 19)}","{('?', '?', '?')}"
"(25, 19, 19, 0)",7,"{(25, 19)}","{('?', '?', '?')}"
"(25, 19, 20, 0)",1,"{(25, 19, 20)}","{(7, 3, '?')}"
